id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
497,4,4.24,1,14,42.42,22,11,9,2,18.18,1,1,1,0,0,4,0,0,1,3,0,18,100,0,6.79,9,2,0,7,0,0,0,11,0,2,1,169,53,222,76.13,67,103,52,8,1,20,1,16.67,0,4,0,42,42.86,9,39.13,51,42.15,749,19,12,15,116,26,6,0,0,0,0,0,6,1,0,0,0,0,0,las-palmas,marc-cardona,F,1300000
498,6,2.07,0,26,74.29,43,14,12,17,13.95,0,0,0,2,0,3,3,0,1,5,1,1,0,0,7.13,52,28,2,23,0,1,0,43,5,2,2,2696,317,3013,89.48,1372,1329,566,37,5,19.23,76,55.47,0,7,0,115,49.36,22,32.35,137,45.51,3217,37,23,48,464,37,36,0,0,0,0,0,41,3,0,0,0,0,0,las-palmas,kirian-rodriguez,M,12400000
499,1,3.75,7,22,46.81,52,19,18,15,1.92,1,0,1,5,0,0,1,0,0,1,2,16,0,0,6.93,12,4,0,14,0,1,0,9,0,4,3,489,104,593,82.46,147,366,194,32,24,26.97,22,84.62,0,3,0,70,48.28,7,38.89,77,47.24,1819,36,20,23,292,27,21,0,0,0,0,0,25,0,0,0,0,0,0,las-palmas,sandro-ramirez,F,1400000
500,0,0.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.58,4,2,0,3,0,0,0,2,0,0,0,118,27,145,81.38,56,62,27,0,0,0,4,26.67,0,1,0,7,53.85,5,71.43,12,60,251,3,2,0,46,4,3,0,0,0,0,0,3,0,0,0,0,0,0,las-palmas,alvaro-lemos,D,735000
501,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,3,0,0,66,1,0,0,5,8,0,0,1353,364,1717,78.8,1244,109,26,0,0,0,219,39.04,0,2,1,9,60,9,81.82,18,69.23,3264,6,1,0,382,37,37,113,9,3,73,38,41,3,26,39,38,27,0,las-palmas,alvaro-valles,G,7000000
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,11,6,1,5,0,0,0,6,0,0,0,206,30,236,87.29,103,103,39,0,0,0,5,45.45,0,0,1,16,51.61,5,83.33,21,56.76,377,5,4,2,47,10,6,0,0,0,0,0,6,1,0,0,0,0,0,las-palmas,daley-sinkgraven,D,1000000
503,2,1.36,2,11,84.62,7,5,0,2,28.57,0,0,0,0,0,2,0,1,0,1,0,3,0,0,6.88,53,18,1,75,0,0,1,6,5,0,0,1283,185,1468,87.4,808,478,142,6,3,20,74,46.84,0,7,0,90,68.18,49,51.04,139,60.96,2566,28,27,11,246,32,30,0,0,0,0,0,33,2,0,0,0,0,0,las-palmas,alex-suarez,D,1100000
504,1,1.05,0,3,50,20,4,11,5,5,0,0,0,8,1,0,1,0,0,1,0,0,0,12.5,6.68,32,20,0,116,1,2,1,7,4,0,0,1255,157,1412,88.88,887,368,57,1,0,0,44,41.12,0,6,1,59,62.11,58,60.42,117,61.26,2293,24,19,9,188,30,26,0,0,0,0,0,31,2,0,0,0,0,0,las-palmas,saul-coco,D,14400000
505,5,2.91,2,39,66.1,19,11,4,4,26.32,0,0,0,0,0,5,0,0,4,1,0,4,0,0,6.97,44,21,1,12,0,0,0,35,3,4,4,1480,124,1604,92.27,668,813,411,29,1,10,31,73.81,0,5,0,117,48.95,8,25,125,46.13,2750,34,27,41,270,36,33,0,0,0,0,0,33,2,0,0,0,0,0,girona-fc,ivan-martin,M,13700000
506,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.24,2,0,0,17,0,1,0,2,12,2,0,917,291,1208,75.91,806,111,35,3,0,0,198,41.25,0,2,0,15,83.33,9,100,24,88.89,3420,8,0,1,300,38,38,125,7,1,84,38,44,2,5,11,9,35,0,girona-fc,paulo-gazzaniga,G,4099999
507,7,3.54,4,55,55.56,46,21,13,12,15.22,0,0,0,2,0,7,0,0,6,1,1,8,0,0,7.41,26,11,0,5,0,1,0,14,5,10,4,572,138,710,80.56,141,468,288,59,37,25.52,22,68.75,1,2,0,133,56.6,11,39.29,144,54.75,2155,52,21,27,397,30,24,0,0,0,0,0,22,2,0,0,0,0,0,real-sociedad,kubo-takefusa,M,52000000
508,2,0.69,1,7,53.85,5,2,3,0,40,0,0,0,0,0,1,1,0,0,2,0,3,0,0,6.67,11,1,0,3,0,0,0,2,0,1,0,177,21,198,89.39,72,108,66,6,3,23.08,1,50,1,1,0,31,59.62,2,40,33,57.89,527,13,6,8,62,27,2,0,0,0,0,0,10,0,0,0,0,0,0,girona-fc,valery-fernandez,D,2400000
509,0,1.21,1,21,60,23,10,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.74,31,6,0,17,0,0,0,17,3,2,1,597,88,685,87.15,288,310,122,9,1,5.26,38,64.41,0,4,0,88,52.69,16,34.04,104,48.6,1703,36,36,14,163,29,19,0,0,0,0,0,19,0,0,0,0,0,0,real-sociedad,benat-turrientes,M,21000000
510,24,24.29,22,17,68,85,46,31,8,28.24,8,7,0,1,0,23,1,6,17,1,1,33,87.5,0,7.2,4,0,0,17,0,0,0,2,3,10,8,277,109,386,71.76,101,176,122,27,0,0,4,100,0,2,0,33,30.84,40,50,73,39.04,2605,13,27,39,219,36,32,0,0,0,0,0,34,2,0,0,0,0,0,girona-fc,artem-dovbyk,F,32000000
511,0,0.76,1,6,37.5,13,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,5,4,0,3,0,1,0,6,0,0,2,356,64,420,84.76,133,223,126,12,0,0,17,65.38,1,1,0,32,46.38,0,0,32,42.11,709,21,8,13,115,26,4,0,0,0,0,0,10,0,0,0,0,0,0,girona-fc,pablo-torre,M,4900000
512,3,1.78,0,15,71.43,39,12,15,12,7.69,0,0,0,8,0,2,1,0,0,3,1,1,0,0,7.48,49,36,0,49,1,2,0,26,10,9,6,2499,225,2724,91.74,1229,1328,612,59,58,30.21,218,74.15,2,4,1,98,57.31,19,45.24,117,54.93,3201,36,29,15,416,37,36,0,0,0,0,0,42,2,0,0,0,0,0,girona-fc,aleix-garcia,M,21000000
513,8,6.19,5,22,47.83,44,16,16,12,18.18,0,0,0,3,0,7,1,0,4,4,4,4,0,0,7.22,29,12,1,20,0,0,0,12,1,12,7,699,142,841,83.12,236,482,298,34,19,30.65,18,58.06,0,0,0,91,52,14,50,105,51.72,2067,41,14,35,300,30,26,0,0,0,0,0,24,2,0,0,0,0,0,girona-fc,viktor-tsygankov,M,31000000
514,9,9.63,12,1,20,34,17,13,4,26.47,0,0,0,0,0,9,0,0,4,5,1,4,0,0,6.86,14,5,0,13,0,0,0,3,0,4,3,84,30,114,73.68,39,45,24,10,0,0,1,50,0,6,0,22,37.29,25,51.02,47,43.52,807,7,28,3,55,31,5,0,0,0,0,0,10,0,0,0,0,0,0,girona-fc,cristhian-stuani,F,1700000
515,9,9.1,8,10,38.46,40,19,8,13,22.5,2,2,0,3,0,8,1,0,6,2,2,19,100,0,6.86,23,4,0,11,0,0,0,14,4,4,3,372,120,492,75.61,154,219,127,21,1,10,13,59.09,0,3,0,52,41.6,27,34.62,79,38.92,2157,20,20,26,238,33,23,0,0,0,0,0,18,2,0,0,0,0,0,real-sociedad,mikel-oyarzabal,F,43000000
516,1,1.7,2,17,65.38,17,6,6,5,5.88,0,0,0,1,0,1,0,0,1,0,0,0,0,0,7.07,47,21,1,110,0,0,0,18,11,2,2,2279,245,2524,90.29,1346,938,407,17,5,29.41,99,49.5,0,6,0,76,62.3,39,54.17,115,59.28,2978,12,19,3,312,34,33,0,0,0,0,0,36,1,0,0,0,0,0,girona-fc,daley-blind,D,3100000
