id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
784,6,4.97,3,54,66.67,40,16,13,11,15,0,0,0,3,1,4,2,0,3,3,0,2,0,33.33,7.11,59,21,0,18,0,0,0,45,4,10,4,945,197,1142,82.75,329,641,358,45,25,33.78,73,61.86,1,9,1,182,51.41,9,32.14,191,50,3009,69,39,61,398,35,35,0,0,0,0,0,45,7,0,0,0,0,0,aston-villa,john-mcginn,M,29000000
785,2,4.28,4,12,37.5,33,13,10,10,6.06,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6.89,54,18,1,52,0,0,1,30,2,6,2,864,164,1028,84.05,453,420,204,13,9,23.08,31,35.63,0,8,0,88,48.62,15,41.67,103,47.47,2142,22,30,15,296,29,23,0,0,0,0,0,31,5,0,0,0,0,0,aston-villa,matty-cash,D,25000000
786,1,2.47,3,19,76,19,5,9,5,5.26,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6.94,54,28,1,68,2,1,0,4,6,1,0,1800,153,1953,92.17,1141,663,232,8,4,23.53,46,56.1,0,5,0,137,77.84,30,68.18,167,75.91,3073,64,14,17,237,35,35,0,0,0,0,0,45,9,0,0,0,0,0,aston-villa,ezri-konsa,D,37000000
787,0,0.14,0,4,80,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,1,0,0,0,20,4,24,83.33,9,11,7,0,0,0,0,0,0,0,0,5,71.43,0,0,5,71.43,31,1,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,aston-villa,philippe-coutinho,M,8000000
788,4,2.55,2,13,61.9,35,9,14,12,11.43,0,0,2,3,0,4,0,1,0,3,0,0,0,0,7.01,42,36,0,131,0,1,0,22,8,2,1,1753,353,2106,83.24,1240,516,203,10,3,37.5,185,50.14,0,5,0,80,50.96,70,49.3,150,50.17,3054,26,38,12,404,36,35,0,0,0,0,0,49,9,0,0,0,0,0,newcastle-united,fabian-schar,D,9700000
789,5,3.58,2,7,33.33,27,12,6,9,18.52,0,0,0,0,0,3,2,1,1,3,0,2,0,0,7,6,5,0,2,0,0,0,1,0,8,3,201,53,254,79.13,67,137,97,13,3,25,3,33.33,0,2,0,34,49.28,4,33.33,38,46.91,794,21,5,16,107,21,7,0,0,0,0,0,10,0,0,0,0,0,0,newcastle-united,harvey-barnes,M,38000000
790,1,0.29,1,6,28.57,5,2,3,0,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.67,9,1,0,0,0,0,0,4,0,1,0,41,13,54,75.93,13,29,18,4,1,14.29,1,25,0,1,0,21,42.86,2,66.67,23,44.23,263,6,3,6,56,12,1,0,0,0,0,0,3,0,0,0,0,0,0,everton,lewis-dobbin,F,2600000
791,1,0.85,1,9,47.37,4,1,3,0,25,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6.8,27,16,1,31,0,0,0,8,2,0,0,340,82,422,80.57,146,201,113,3,7,30.43,15,57.69,0,2,0,48,57.83,5,50,53,56.99,891,12,16,3,130,14,10,0,0,0,0,0,18,3,0,0,0,0,0,fulham,kenny-tete,D,16200000
792,3,4.64,3,19,46.34,52,16,24,12,5.77,0,0,0,7,0,2,1,0,1,2,3,3,0,0,7.06,25,4,0,11,0,0,0,30,3,9,7,838,225,1063,78.83,286,619,343,85,67,30.45,50,46.73,1,6,0,70,38.04,14,28,84,35.9,2637,27,22,41,498,37,34,0,0,0,0,0,34,6,0,0,0,0,0,fulham,andreas-pereira,M,19400000
793,0,0.16,0,3,100,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,4,4,8,50,2,2,2,0,0,0,1,100,0,0,0,3,100,2,66.67,5,83.33,32,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,fulham,aleksandar-mitrovic,F,27000000
794,1,1.61,2,5,62.5,13,3,5,5,7.69,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.71,33,16,0,18,0,1,0,21,2,0,0,428,61,489,87.53,222,206,74,11,0,0,11,52.38,0,3,0,47,43.52,11,57.89,58,45.67,1133,9,27,10,92,24,13,0,0,0,0,0,15,5,0,0,0,0,0,fulham,sasa-lukic,M,9400000
795,7,8.77,10,25,54.35,47,23,15,9,14.89,0,0,0,0,0,7,0,1,1,5,1,21,0,0,6.91,43,15,1,18,0,0,0,28,9,4,2,680,186,866,78.52,246,437,261,34,3,11.54,17,48.57,0,7,0,76,35.02,24,36.36,100,35.34,2637,8,53,42,344,32,32,0,0,0,0,0,33,3,0,0,0,0,0,everton,abdoulaye-doucoure,F,9600000
796,2,2.01,1,12,60,29,6,15,8,6.9,0,0,0,0,0,2,0,2,0,0,0,1,0,0,7.06,71,21,1,30,0,0,0,21,5,4,0,869,154,1023,84.95,390,480,246,18,1,33.33,61,70.93,0,5,0,127,63.18,53,73.61,180,65.93,2090,45,37,10,205,30,23,0,0,0,0,0,33,5,0,0,0,0,0,everton,amadou-onana,M,50000000
797,0,0.61,0,12,50,13,2,5,6,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,6.68,53,22,1,45,3,0,1,24,6,2,0,561,214,775,72.39,242,343,168,21,24,24,48,32.43,0,5,1,89,52.05,19,37.25,108,48.65,2299,24,33,13,372,31,27,0,0,0,0,0,29,3,0,0,0,0,0,everton,ashley-young,D,550000
798,7,5.15,4,10,45.45,41,17,14,10,17.07,0,0,0,0,0,7,0,2,0,5,2,12,0,0,6.85,18,4,0,13,0,0,0,13,0,3,0,260,113,373,69.71,102,160,96,11,2,28.57,12,52.17,0,3,1,49,40.16,44,42.31,93,41.15,1436,21,17,32,212,24,18,0,0,0,0,0,21,5,0,0,0,0,0,fulham,raul-jimenez,F,5300000
799,4,5.14,3,29,53.7,45,18,10,17,8.89,2,2,0,2,0,4,0,0,0,4,0,1,100,0,7.13,18,9,0,10,0,1,0,18,3,6,2,905,154,1059,85.46,324,602,399,45,21,28,60,81.08,1,1,0,77,50,9,36,86,48.04,2054,30,9,26,300,31,24,0,0,0,0,0,24,4,0,0,0,0,0,fulham,willian,M,1900000
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,32,1,0,1,0,10,0,0,1086,320,1406,77.24,965,121,38,0,0,0,176,35.7,0,3,0,1,100,12,92.31,13,92.86,3420,3,0,0,328,38,38,134,8,0,86,47,49,12,18,19,18,16,2,fulham,bernd-leno,G,12000000
801,1,0.69,1,2,66.67,6,4,1,1,16.67,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6.57,7,5,1,18,1,0,0,6,1,0,0,171,49,220,77.73,119,52,21,0,0,0,17,44.74,0,2,0,9,39.13,16,59.26,25,50,438,0,5,3,56,9,4,0,0,0,0,0,12,1,0,0,0,0,0,everton,michael-keane,D,5600000
